written_by,writes
2329739283,6ea3fffea0eb682720f38c5eb8b996393e030df2
2309393983,c83a30e258a39b47d12ddf0bd17058746420d4f3
2239078707,c83a30e258a39b47d12ddf0bd17058746420d4f3
2239162502,c83a30e258a39b47d12ddf0bd17058746420d4f3
2309393983,54e597398a3073102fae1c4c4f8668538d6730c0
2239162502,54e597398a3073102fae1c4c4f8668538d6730c0
2239078707,54e597398a3073102fae1c4c4f8668538d6730c0
2327054178,9b49dc34c4c5230819309e52601c6526a68f28b1
8289290,9b49dc34c4c5230819309e52601c6526a68f28b1
2145466424,9b49dc34c4c5230819309e52601c6526a68f28b1
2316782440,9b49dc34c4c5230819309e52601c6526a68f28b1
2364811605,9b49dc34c4c5230819309e52601c6526a68f28b1
2278900514,7aa7b85e4baed73bdc2a30e637b66d8dd1349a62
2366159654,7aa7b85e4baed73bdc2a30e637b66d8dd1349a62
2285222805,7aa7b85e4baed73bdc2a30e637b66d8dd1349a62
2108853330,7aab05d4365672b8d4634342ad80fe485c297fad
2284701198,7aab05d4365672b8d4634342ad80fe485c297fad
2249583325,7aab05d4365672b8d4634342ad80fe485c297fad
2264251662,7aab05d4365672b8d4634342ad80fe485c297fad
2219392676,edd866a30b34343364c50430031fc8b516be4dd2
2363712863,edd866a30b34343364c50430031fc8b516be4dd2
143909596,edd866a30b34343364c50430031fc8b516be4dd2
2315810140,edd866a30b34343364c50430031fc8b516be4dd2
2363712536,edd866a30b34343364c50430031fc8b516be4dd2
52162918,edd866a30b34343364c50430031fc8b516be4dd2
2358947856,4a9b90aaca758ad0b054f2c7aaa6abd5c8a69aa5
2358950040,4a9b90aaca758ad0b054f2c7aaa6abd5c8a69aa5
2358948255,4a9b90aaca758ad0b054f2c7aaa6abd5c8a69aa5
2678980,564b6d3467432ba2cd71f5dc8e1a538027964ef5
2362066377,564b6d3467432ba2cd71f5dc8e1a538027964ef5
2313416190,564b6d3467432ba2cd71f5dc8e1a538027964ef5
2316712590,564b6d3467432ba2cd71f5dc8e1a538027964ef5
2349175332,564b6d3467432ba2cd71f5dc8e1a538027964ef5
2286910265,f7ca7259cb50defa577bfa033abb2aa84c4c28d1
2297945157,f7ca7259cb50defa577bfa033abb2aa84c4c28d1
2253803412,f7ca7259cb50defa577bfa033abb2aa84c4c28d1
2299283126,b11a6b91f51e4c2f0d1d4edf36f4021c3ecd1a49
1402032906,b11a6b91f51e4c2f0d1d4edf36f4021c3ecd1a49
32467925,b11a6b91f51e4c2f0d1d4edf36f4021c3ecd1a49
2299291786,b11a6b91f51e4c2f0d1d4edf36f4021c3ecd1a49
2268625020,b11a6b91f51e4c2f0d1d4edf36f4021c3ecd1a49
2333469138,b11a6b91f51e4c2f0d1d4edf36f4021c3ecd1a49
2299158585,b11a6b91f51e4c2f0d1d4edf36f4021c3ecd1a49
2299151587,b11a6b91f51e4c2f0d1d4edf36f4021c3ecd1a49
2137935837,7af1bbb926673e38b731e0bb1880c8c77060d576
2238331727,7af1bbb926673e38b731e0bb1880c8c77060d576
2274545303,2c77f4bfc7b2d5fba5b4d07f337805b41e84e684
2341686468,2c77f4bfc7b2d5fba5b4d07f337805b41e84e684
2266803648,2c77f4bfc7b2d5fba5b4d07f337805b41e84e684
2289860680,2c77f4bfc7b2d5fba5b4d07f337805b41e84e684
2222455189,2c77f4bfc7b2d5fba5b4d07f337805b41e84e684
2321982620,2c77f4bfc7b2d5fba5b4d07f337805b41e84e684
2326452923,2c77f4bfc7b2d5fba5b4d07f337805b41e84e684
2382828503,2c77f4bfc7b2d5fba5b4d07f337805b41e84e684
2186557380,4a4f4277936b35ef033ab64c57f7cc848ca90aae
2145340498,4a4f4277936b35ef033ab64c57f7cc848ca90aae
