authorId,affiliation
2263798673,Virginia Tech
145546032,The University of Texas at Austin
3056500,Cardiff University
1662767314,Carnegie Mellon University
144323862,Korea University
2341918565,Daffodil International University
2120192839,Technical University of Munich
50043859,Allen Institute for AI
1811211,University of Oregon
41124383,National University of Singapore
41124383,ASUS-AICS
2116921824,Alibaba
2052329,The Open University
7446832,Cornell University
1793506,Georgia Institute of Technology
98442688,Allen Institute for AI
40291891,Sapienza University of Rome
2087047386,Allen Institute for AI
22642319,"The Chinese University of Hong Kong, University of Edinburgh"
150197022,King's College London
2292962829,University of New Mexico
2258193767,"HiTZ Center - Ixa, University of the Basque Country UPV/EHU"
2676352,Google
46258841,Allen Institute for Artificial Intelligence
2382949331,"Makerere University, College of Computing and Information Sciences"
49843300,TU Darmstadt
49995036,Georgia Institute of Technology
40636184,The University of Texas at Austin
2111312892,Tsinghua University
48379289,Amazon
3309646,Technische Universität Wien
29963551,University of Illinois Urbana-Champaign
91903310,University of Washington
35283208,Shanghaitech University
48615640,Salesforce
2325916181,Korea University
22186618,"Network Science Institute, Northeastern University London"
1587728690,The Hong Kong University of Science and Technology
46181683,Allen Institute for AI
2283288168,Emory University
2326546675,"DMIS Lab, Korea University"
1801255,University of Mannheim
89530758,OMRON SINIC X Corporation
89530758,Tokyo Metropolitan University
2328289446,Yale University
2116577679,Shanghai Jiao Tong University
2116577679,Northeastern University
35540755,University of Michigan
26161085,"Staff Research Scientist, Google DeepMind"
144255060,"National Institutes of Health, Tsinghua University, University of Pittsburgh"
144518215,University of Washington
2136108329,UC Santa Barbara
1712107,Paderborn University
3344531,"Department of Computing, The Hong Kong Polytechnic University"
1759422,Meta AI
1472875852,KAIST
151112226,TU Dresden & ScaDS.AI
16003017,Beijing University of Posts and Telecommunications
120897486,Alibaba Group
47413820,Microsoft Research
32501582,Fondazione Bruno Kessler
32501582,University of Padova
2345802745,Peking University
1887226710,Université d'Orléans
2286626710,National University of Singapore
1860983,Allen Institute for AI
1860983,Chan Zuckerberg Initiative
1860983,Digital Science
1860983,Microsoft
1860983,University of Washington
2187778761,University of Illinois Urbana-Champaign
48727916,Northeastern University
2268640874,University of Washington
2279838421,University of Naples Federico II
122909796,"School of Information Management, Wuhan University"
51130642,"University of California, Santa Barbara"
145485725,University of Washington
